Date,Time,Load (kW),,,,,,,
,10:00,5125.80204,,,,,,,
,11:00,5104.2906,,,,,,,
,12:00,4259.88864,,,,,,,
,13:00,3581.65476,,,,,,,
,14:00,4818.2508,,,,,,,
,15:00,3532.2408,,,,,,,
,16:00,8573.4,,,,,,,
,17:00,8053.69608,,,,,,,
,18:00,7664.6196,,,,,,,
,19:00,6995.8944,,,,,,,
,20:00,6481.4904,,,,,,,
,21:00,6110.496,,,,,,,
,22:00,5796.24192,,,,,,,
,23:00,5516.90496,,,,,,,
29.09.2019,0:00,5401.242,,,,,,,
,1:00,5572.71,,,,,,,
,2:00,6344.316,,,,,,,
,3:00,7525.26288,,,,,,,
,4:00,7323.2424,,,,,,,
,5:00,8053.69608,,,,,,,
,6:00,8087.67792,,,,,,,
,7:00,5165.23968,,,,,,,
,8:00,5281.2144,,,,,,,
,9:00,5161.1868,,,,,,,
,10:00,5377.23648,,,,,,,
,11:00,5255.02656,,,,,,,
,12:00,5324.8608,,,,,,,
,13:00,7197.91488,,,,,,,
,14:00,8357.19444,,,,,,,
,15:00,8668.64268,,,,,,,
,16:00,8607.6936,,,,,,,
,17:00,8281.9044,,,,,,,
,18:00,7595.87652,,,,,,,
,19:00,7221.9204,,,,,,,
,20:00,6482.11392,,,,,,,
,21:00,5953.36896,,,,,,,
,22:00,5761.3248,,,,,,,
,23:00,5830.37964,,,,,,,
30.09.2019,0:00,5615.42112,,,,,,,
,1:00,5830.37964,,,,,,,
,2:00,6162.87168,,,,,,,
,3:00,7028.16156,,,,,,,
,4:00,7227.84384,,,,,,,
,5:00,6961.6008,,,,,,,
,6:00,6910.1604,,,,,,,
,7:00,8325.5508,,,,,,,
,8:00,6813.35892,,,,,,,
,9:00,8401.932,,,,,,,
,10:00,8487.666,,,,,,,
,11:00,8487.666,,,,,,,
,12:00,6550.0776,,,,,,,
,13:00,6473.54052,,,,,,,
,14:00,6515.784,,,,,,,
,15:00,8436.2256,,,,,,,
,16:00,8547.52392,,,,,,,
,17:00,7976.53548,,,,,,,
,18:00,8624.52864,,,,,,,
,19:00,7210.38528,,,,,,,
,20:00,6826.29696,,,,,,,
,21:00,6197.7888,,,,,,,
,22:00,5936.06628,,,,,,,
,23:00,5846.43528,,,,,,,
01.10.2019,0:00,6023.2032,,,,,,,
,1:00,5988.59784,,,,,,,
,2:00,6459.6672,,,,,,,
,3:00,7769.0592,,,,,,,
,4:00,7645.914,,,,,,,
,5:00,7543.96848,,,,,,,
,6:00,6745.39524,,,,,,,
,7:00,6813.35892,,,,,,,
,8:00,5555.5632,,,,,,,
,9:00,5471.07624,,,,,,,
,10:00,5384.0952,,,,,,,
,11:00,5571.46296,,,,,,,
,12:00,5190.804,,,,,,,
,13:00,6995.8944,,,,,,,
,14:00,7647.4728,,,,,,,
,15:00,8196.1704,,,,,,,
,16:00,7943.6448,,,,,,,
,17:00,7908.72768,,,,,,,
,18:00,7594.4736,,,,,,,
,19:00,7646.84928,,,,,,,
,20:00,5988.9096,,,,,,,
,21:00,5636.6208,,,,,,,
,22:00,5390.01864,,,,,,,
,23:00,5231.48868,,,,,,,
02.10.2019,0:00,5460.4764,,,,,,,
,1:00,5566.16304,,,,,,,
,2:00,5727.18708,,,,,,,
,3:00,6332.78088,,,,,,,
,4:00,6498.6372,,,,,,,
,5:00,6841.5732,,,,,,,
,6:00,6772.986,,,,,,,
,7:00,6481.4904,,,,,,,
,8:00,6464.3436,,,,,,,
,9:00,6252.65856,,,,,,,
,10:00,6218.67672,,,,,,,
